query,category,engine,rank,recipe_id,recipe_name,score,relevant
banana bread,keyword,TF-IDF,2,382651,healthy wheat banana bread,0.3641892075538635,
banana bread,keyword,TF-IDF,3,138866,dora benston s pioneer banana bread,0.362201452255249,
banana bread,keyword,TF-IDF,4,91733,banana bread bread pudding,0.34821149706840515,
banana bread,keyword,TF-IDF,5,260923,granny frazier s banana bread,0.33993518352508545,
banana bread,keyword,Embeddings,1,430478,deliciously simple banana bread,0.7166304588317871,
banana bread,keyword,Embeddings,2,319415,best banana bread recipe,0.7094783186912537,
banana bread,keyword,Embeddings,3,110798,best ever banana bread,0.6970549821853638,
banana bread,keyword,Embeddings,4,25885,banana banana bread,0.6887924075126648,
banana bread,keyword,Embeddings,5,346114,healthier banana bread,0.6826021671295166,
grilled salmon,keyword,TF-IDF,1,51955,honey bourbon salmon,0.3906606435775757,
grilled salmon,keyword,TF-IDF,2,307777,whiskey sauce for grilled salmon,0.378129780292511,
grilled salmon,keyword,TF-IDF,3,181774,salmon with creamy horseradish sauce,0.3737245202064514,
grilled salmon,keyword,TF-IDF,4,22098,garlic lemon butter for grilled salmon,0.3733595013618469,
grilled salmon,keyword,TF-IDF,5,235863,grilled salmon with citrus dill marinade,0.36371392011642456,
grilled salmon,keyword,Embeddings,1,63080,brown sugar grilled salmon,0.6703687906265259,
grilled salmon,keyword,Embeddings,2,143508,grilled salmon with vegetables,0.6696103811264038,
grilled salmon,keyword,Embeddings,3,200921,grilled marinated salmon,0.6680053472518921,
grilled salmon,keyword,Embeddings,4,87547,grilled salmon with herb cheese sauce,0.6637957096099854,
grilled salmon,keyword,Embeddings,5,11686,grilled salmon with garlic   lemon,0.6627037525177002,
caesar salad,keyword,TF-IDF,1,273796,mika s super fast  caesar salad,0.4862709641456604,
caesar salad,keyword,TF-IDF,2,389741,hotel caesar s caesar salad,0.39675232768058777,
caesar salad,keyword,TF-IDF,3,121166,caesar chicken salad sandwiches,0.35490724444389343,
caesar salad,keyword,TF-IDF,4,460446,caesar salad bagels,0.34022846817970276,
caesar salad,keyword,TF-IDF,5,23616,outback steakhouse caesar salad dressing,0.328978031873703,
caesar salad,keyword,Embeddings,1,239538,easy  mostly traditional  caesar salad,0.7051835060119629,
caesar salad,keyword,Embeddings,2,264992,the great caesar salad,0.7051063179969788,
caesar salad,keyword,Embeddings,3,332235,lemon caesar salad,0.7017544507980347,
caesar salad,keyword,Embeddings,4,389741,hotel caesar s caesar salad,0.6924730539321899,
caesar salad,keyword,Embeddings,5,50805,caesar salad   classic,0.6726471185684204,
beef stew,keyword,TF-IDF,1,32363,homebakes   knock off beef stew and biscuits,0.326986163854599,
beef stew,keyword,TF-IDF,2,266929,crock pot southwestern beef stew,0.3055232763290405,
beef stew,keyword,TF-IDF,3,170058,tuscan beef stew,0.30525171756744385,
beef stew,keyword,TF-IDF,4,8531,crock pot beef stew,0.294813334941864,
beef stew,keyword,TF-IDF,5,142205,effortless beef stew,0.29478752613067627,
beef stew,keyword,Embeddings,1,333883,drunk beef stew,0.6868942975997925,
beef stew,keyword,Embeddings,2,227622,delicious game day beef stew,0.6572535037994385,
beef stew,keyword,Embeddings,3,253452,down home beef and rice,0.6521317958831787,
beef stew,keyword,Embeddings,4,12634,paul lynde beef stew,0.6484552621841431,
beef stew,keyword,Embeddings,5,68074,award winning beef stew,0.6442719101905823,
apple pie,keyword,TF-IDF,1,422604,apple pie parfait  big on taste  not calories,0.38609880208969116,
apple pie,keyword,TF-IDF,2,395671,all american apple pie spread,0.38278070092201233,
apple pie,keyword,TF-IDF,3,395408,crustless apple pie,0.37867361307144165,
apple pie,keyword,TF-IDF,4,142204,zucchini apple pie filling,0.36006906628608704,
apple pie,keyword,TF-IDF,5,57763,deep dish apple pie with its own crust,0.3560711145401001,
apple pie,keyword,Embeddings,1,8134,apple pie  1,0.6794527769088745,
apple pie,keyword,Embeddings,2,263371,appelpaj  swedish apple pie,0.6709708571434021,
apple pie,keyword,Embeddings,3,10263,amazing apple pie,0.6551127433776855,
apple pie,keyword,Embeddings,4,330370,apple pie by grandma ople,0.6534717082977295,
apple pie,keyword,Embeddings,5,395408,crustless apple pie,0.6522113084793091,
garlic bread,keyword,TF-IDF,1,388186,pan toasted garlic bread,0.2799440622329712,
garlic bread,keyword,TF-IDF,2,369352,gilroy garlic bread,0.2794356942176819,
garlic bread,keyword,TF-IDF,3,178276,al s garlic bread,0.26238811016082764,
garlic bread,keyword,TF-IDF,4,128812,fantastic garlic bread,0.2594744861125946,
garlic bread,keyword,TF-IDF,5,425356,garlic roast beef sandwiches,0.2573171854019165,
garlic bread,keyword,Embeddings,1,431294,crowd favorite garlic bread,0.7457782030105591,
garlic bread,keyword,Embeddings,2,46183,amazing garlic bread,0.7288434505462646,
garlic bread,keyword,Embeddings,3,368599,herb garlic bread,0.7202836275100708,
garlic bread,keyword,Embeddings,4,138964,homemade garlic bread,0.7020937204360962,
garlic bread,keyword,Embeddings,5,107933,bread machine garlic bread,0.6985043883323669,
fried rice,keyword,TF-IDF,1,137200,fried rice chicken soup,0.30893847346305847,
fried rice,keyword,TF-IDF,2,247155,hibachi style fried rice,0.30802491307258606,
fried rice,keyword,TF-IDF,3,197711,easy fried rice with veggies,0.28777655959129333,
fried rice,keyword,TF-IDF,4,108112,cashew fried rice,0.28310614824295044,
fried rice,keyword,TF-IDF,5,256631,easy ham fried rice,0.2693853974342346,
fried rice,keyword,Embeddings,1,66932,healthy  fried rice,0.6758869886398315,
fried rice,keyword,Embeddings,2,78361,chinese style fried rice,0.6588231325149536,
fried rice,keyword,Embeddings,3,131053,mrs  c s fried rice,0.6563702821731567,
fried rice,keyword,Embeddings,4,432965,very  simple fried rice,0.6563631892204285,
fried rice,keyword,Embeddings,5,145522,fried rice,0.6435636281967163,
comfort food for a rainy day,semantic,TF-IDF,1,104494,janet s banana bread,0.23881086707115173,
comfort food for a rainy day,semantic,TF-IDF,2,81729,no bake butterscotch drops,0.2335326373577118,
comfort food for a rainy day,semantic,TF-IDF,3,108059,rainy day yellow cake,0.22363458573818207,
comfort food for a rainy day,semantic,TF-IDF,4,254805,chicken italia soup,0.223598450422287,
comfort food for a rainy day,semantic,TF-IDF,5,243500,coffee nudge,0.22338667511940002,
comfort food for a rainy day,semantic,Embeddings,1,155939,lentil soup for miserable rainy days,0.474868506193161,
comfort food for a rainy day,semantic,Embeddings,2,99427,cozy orzo and white bean soup,0.44077783823013306,
comfort food for a rainy day,semantic,Embeddings,3,408585,turkish lentil soup,0.43933576345443726,
comfort food for a rainy day,semantic,Embeddings,4,94276,chilled lentil soup with spinach,0.4079188108444214,
comfort food for a rainy day,semantic,Embeddings,5,144905,turkey soup with egg  noodles and vegetables,0.40106698870658875,
healthy dinner after gym,semantic,TF-IDF,1,401047,apple  pineapple casserole,0.1502292901277542,
healthy dinner after gym,semantic,TF-IDF,2,104332,easy  easy glazed onions,0.14428319036960602,
healthy dinner after gym,semantic,TF-IDF,3,343756,pineapple rum slush,0.12249220907688141,
healthy dinner after gym,semantic,TF-IDF,4,38145,reservation casserole,0.12187698483467102,
healthy dinner after gym,semantic,TF-IDF,5,498712,star drink,0.12180991470813751,
healthy dinner after gym,semantic,Embeddings,1,265201,the answer  protein shake,0.4825145900249481,
healthy dinner after gym,semantic,Embeddings,2,316789,amy s workout winner,0.4821569323539734,
healthy dinner after gym,semantic,Embeddings,3,101890,situ s chicken salad,0.4576185345649719,
healthy dinner after gym,semantic,Embeddings,4,459490,watercress and chicken muscle salad,0.4516223073005676,
healthy dinner after gym,semantic,Embeddings,5,203040,healthy spring mix,0.4480546712875366,
quick weeknight meal,semantic,TF-IDF,1,57570,arugula pesto pasta,0.25587719678878784,
quick weeknight meal,semantic,TF-IDF,2,384132,sloppy joe ziti,0.22357019782066345,
quick weeknight meal,semantic,TF-IDF,3,91969,elena s chicken francese,0.22131219506263733,
quick weeknight meal,semantic,TF-IDF,4,267660,quick and easy ham casserole,0.20936475694179535,
quick weeknight meal,semantic,TF-IDF,5,81110,gorgonzola linguine,0.20790371298789978,
quick weeknight meal,semantic,Embeddings,1,293494,monday night special,0.5811442136764526,
quick weeknight meal,semantic,Embeddings,2,40996,quick beef soup,0.5770150423049927,
quick weeknight meal,semantic,Embeddings,3,48672,super easy supper,0.5747414231300354,
quick weeknight meal,semantic,Embeddings,4,162432,quick weeknight chili,0.573430597782135,
quick weeknight meal,semantic,Embeddings,5,39231,quick supper  frit,0.5640664100646973,
romantic dinner for two,semantic,TF-IDF,1,355889,cheese for starters    done,0.22265246510505676,
romantic dinner for two,semantic,TF-IDF,2,227438,grilled asparagus with blue cheese butter and red onion chutney,0.2024005949497223,
romantic dinner for two,semantic,TF-IDF,3,203729,spiked spiced berries,0.18984454870224,
romantic dinner for two,semantic,TF-IDF,4,287711,tortellini with parmesan cream sauce,0.18966048955917358,
romantic dinner for two,semantic,TF-IDF,5,121067,shrimp in pernod cream sauce,0.18328844010829926,
romantic dinner for two,semantic,Embeddings,1,116410,romantic chicken mushroom rollups,0.4089835286140442,
romantic dinner for two,semantic,Embeddings,2,355889,cheese for starters    done,0.39200758934020996,
romantic dinner for two,semantic,Embeddings,3,176744,tenderloin for two with peppercorn cream,0.38275840878486633,
romantic dinner for two,semantic,Embeddings,4,314884,drunken french country chicken au gratin,0.3729858100414276,
romantic dinner for two,semantic,Embeddings,5,152600,valentine s day parfaits,0.36695703864097595,
impressive dish for guests,semantic,TF-IDF,1,254656,cranberry orange pork tenderloin,0.15864251554012299,
impressive dish for guests,semantic,TF-IDF,2,228502,crostini with mascarpone  berries and honey,0.1549030840396881,
impressive dish for guests,semantic,TF-IDF,3,305336,caprese bites,0.15353524684906006,
impressive dish for guests,semantic,TF-IDF,4,72479,prosciutto wrapped chicken,0.1510779857635498,
impressive dish for guests,semantic,TF-IDF,5,360662,chili rice dinner,0.15005560219287872,
impressive dish for guests,semantic,Embeddings,1,368462,mrs  wilkes  boarding house brunswick stew,0.4601472020149231,
impressive dish for guests,semantic,Embeddings,2,100637,parmesan basket,0.458751916885376,
impressive dish for guests,semantic,Embeddings,3,260966,possibly the best layer dip you ve ever eaten,0.4586929678916931,
impressive dish for guests,semantic,Embeddings,4,40615,margaret wood s mushroom casserole,0.4570333957672119,
impressive dish for guests,semantic,Embeddings,5,115381,pommes anna,0.4567323923110962,
light summer meal,semantic,TF-IDF,1,219569,tequila mussels with tomatoes   jalapenos,0.21393722295761108,
light summer meal,semantic,TF-IDF,2,247042,citrus splash,0.19988396763801575,
light summer meal,semantic,TF-IDF,3,52067,summer wheatberry salad,0.19655373692512512,
light summer meal,semantic,TF-IDF,4,30554,outrageously easy and healthy bean  corn and sprouts bowl for one  vegan,0.19578008353710175,
light summer meal,semantic,TF-IDF,5,335607,chef boy i be illinois  warm white bean salad with prosciutto,0.18174150586128235,
light summer meal,semantic,Embeddings,1,11978,sarah s fabulous summer pasta salad,0.5588120222091675,
light summer meal,semantic,Embeddings,2,238057,summer garden salad,0.5524948835372925,
light summer meal,semantic,Embeddings,3,325946,layered summertime salad,0.5514246225357056,
light summer meal,semantic,Embeddings,4,299347,fruit salad  the healthy summer dessert,0.5461422801017761,
light summer meal,semantic,Embeddings,5,180375,barley and tuna salad with lemon and dill,0.5440200567245483,
warm cozy winter food,semantic,TF-IDF,1,99427,cozy orzo and white bean soup,0.18532609939575195,
warm cozy winter food,semantic,TF-IDF,2,36090,cozy steak   beans soup,0.14279215037822723,
warm cozy winter food,semantic,TF-IDF,3,476525,granny s pork and sauerkraut,0.1389842927455902,
warm cozy winter food,semantic,TF-IDF,4,48679,spicy friendship tea mix,0.13559755682945251,
warm cozy winter food,semantic,TF-IDF,5,309902,vanilla coffee mix,0.12828581035137177,
warm cozy winter food,semantic,Embeddings,1,16217,erin s wild rice soup,0.5177985429763794,
warm cozy winter food,semantic,Embeddings,2,275129,winter soup,0.5158094763755798,
warm cozy winter food,semantic,Embeddings,3,194109,mrs claus christmas welcome soup,0.490523099899292,
warm cozy winter food,semantic,Embeddings,4,99427,cozy orzo and white bean soup,0.4857567548751831,
warm cozy winter food,semantic,Embeddings,5,105604,americanized shepherd s pie,0.4799228310585022,
kid friendly lunch,semantic,TF-IDF,1,35277,ants on a log,0.20393304526805878,
kid friendly lunch,semantic,TF-IDF,2,289368,pesto and mozzarella sandwiches,0.20233875513076782,
kid friendly lunch,semantic,TF-IDF,3,508541,little lou s grilled ham   cheese,0.19824212789535522,
kid friendly lunch,semantic,TF-IDF,4,161477,homemade  beenie weenie,0.19417446851730347,
kid friendly lunch,semantic,TF-IDF,5,242398,lunch on a stick  for kids,0.1916223019361496,
kid friendly lunch,semantic,Embeddings,1,242398,lunch on a stick  for kids,0.6253358125686646,
kid friendly lunch,semantic,Embeddings,2,251773,snack stackers  lunch box surprise,0.557661771774292,
kid friendly lunch,semantic,Embeddings,3,237356,kids snack mix,0.5329906940460205,
kid friendly lunch,semantic,Embeddings,4,248985,lunchable cracker stacker lunch,0.5310447812080383,
kid friendly lunch,semantic,Embeddings,5,475156,pasta and meatballs for kids,0.5215330123901367,
lazy sunday breakfast,semantic,TF-IDF,1,10225,potato and egg salad for the lazy,0.17225265502929688,
lazy sunday breakfast,semantic,TF-IDF,2,287208,sausage breakfast rolls,0.17168135941028595,
lazy sunday breakfast,semantic,TF-IDF,3,348976,lazy man s beef stew,0.1665549874305725,
lazy sunday breakfast,semantic,TF-IDF,4,281436,lazy garlic parmesan risotto,0.16094084084033966,
lazy sunday breakfast,semantic,TF-IDF,5,315256,guacamole perezoso,0.16041919589042664,
lazy sunday breakfast,semantic,Embeddings,1,505659,lazy eggs,0.5767250061035156,
lazy sunday breakfast,semantic,Embeddings,2,256153,murray s poor man s breakfast,0.5364867448806763,
lazy sunday breakfast,semantic,Embeddings,3,78561,lazy day stew,0.5347683429718018,
lazy sunday breakfast,semantic,Embeddings,4,353194,easy peasy breakfast waffles,0.5326828360557556,
lazy sunday breakfast,semantic,Embeddings,5,172185,easy breakfast toast,0.4964457154273987,
something sweet and indulgent,semantic,TF-IDF,1,448619,spiced cooked apples   no sugar,0.1560344249010086,
something sweet and indulgent,semantic,TF-IDF,2,419111,choco nana peanut butter smoothie,0.15408281981945038,
something sweet and indulgent,semantic,TF-IDF,3,314350,easy orange julius,0.14576837420463562,
something sweet and indulgent,semantic,TF-IDF,4,280273,dd s  specialty toast,0.1429295539855957,
something sweet and indulgent,semantic,TF-IDF,5,360483,hazelnut butter,0.13919036090373993,
something sweet and indulgent,semantic,Embeddings,1,286978,lighter chocolate fondue  or ganache,0.5426483750343323,
something sweet and indulgent,semantic,Embeddings,2,32524,sweet cheesy delight,0.5421115159988403,
something sweet and indulgent,semantic,Embeddings,3,149514,oh my god  becky  look at her b,0.538235604763031,
something sweet and indulgent,semantic,Embeddings,4,127653,final liberation diet chocolate yoghurt,0.5265604853630066,
something sweet and indulgent,semantic,Embeddings,5,24721,shannon s good for you parfait,0.5251268148422241,
vegan dessert,dietary_cuisine,TF-IDF,1,172394,cake,0.19805355370044708,
vegan dessert,dietary_cuisine,TF-IDF,2,471226,decadent vegan chocolate mousse,0.1938602179288864,
vegan dessert,dietary_cuisine,TF-IDF,3,257317,vegan chicken salad,0.18813163042068481,
vegan dessert,dietary_cuisine,TF-IDF,4,501760,vegan ice cream,0.1734464317560196,
vegan dessert,dietary_cuisine,TF-IDF,5,13869,vegan graham cracker crust  for vegan cheesecake,0.173306405544281,
vegan dessert,dietary_cuisine,Embeddings,1,68420,vegan berry pie,0.6727194786071777,
vegan dessert,dietary_cuisine,Embeddings,2,360810,vegan chocolate mocha pie,0.6513493061065674,
vegan dessert,dietary_cuisine,Embeddings,3,317338,vegan fruit butter bars,0.6308915615081787,
vegan dessert,dietary_cuisine,Embeddings,4,278233,vegan coconut cream pie filling,0.6237437725067139,
vegan dessert,dietary_cuisine,Embeddings,5,356751,no bake vegan banoffee pie,0.6172842979431152,
gluten free dinner,dietary_cuisine,TF-IDF,1,231417,gluten free flour,0.40385887026786804,
gluten free dinner,dietary_cuisine,TF-IDF,2,434885,gluten free cream of chicken soup  adapted from bette hagman s c,0.373539000749588,
gluten free dinner,dietary_cuisine,TF-IDF,3,173353,gfcf breakfast bar,0.35409897565841675,
gluten free dinner,dietary_cuisine,TF-IDF,4,396252,gluten free creamy potato soup,0.3381982445716858,
gluten free dinner,dietary_cuisine,TF-IDF,5,324211,gluten free chex party mix,0.32867228984832764,
gluten free dinner,dietary_cuisine,Embeddings,1,452475,gluten free low carb pizza,0.5779565572738647,
gluten free dinner,dietary_cuisine,Embeddings,2,501849,moroccan rice salad  gluten free,0.564719021320343,
gluten free dinner,dietary_cuisine,Embeddings,3,300249,gluten free shake and bake mixture,0.5511666536331177,
gluten free dinner,dietary_cuisine,Embeddings,4,243110,gluten free breakfast surprise,0.5503618717193604,
gluten free dinner,dietary_cuisine,Embeddings,5,308397,baked cereal squares  gluten free,0.5434980988502502,
italian pasta dish,dietary_cuisine,TF-IDF,1,387662,linguine verde,0.22203466296195984,
italian pasta dish,dietary_cuisine,TF-IDF,2,240653,clam pasta,0.21210643649101257,
italian pasta dish,dietary_cuisine,TF-IDF,3,303238,kale   sausage,0.2111334204673767,
italian pasta dish,dietary_cuisine,TF-IDF,4,337285,linguine alla vongole,0.20384709537029266,
italian pasta dish,dietary_cuisine,TF-IDF,5,408720,american   italian pasta salad,0.194844588637352,
italian pasta dish,dietary_cuisine,Embeddings,1,305079,easy italian pasta casserole,0.7088837623596191,
italian pasta dish,dietary_cuisine,Embeddings,2,91114,spaghetti siciliana,0.7062498331069946,
italian pasta dish,dietary_cuisine,Embeddings,3,56728,pasta salad italiano,0.7008203864097595,
italian pasta dish,dietary_cuisine,Embeddings,4,3593,italian vegetable pasta bake,0.6997857093811035,
italian pasta dish,dietary_cuisine,Embeddings,5,108046,italian chicken pasta toss,0.6900613307952881,
asian stir fry,dietary_cuisine,TF-IDF,1,12563,szechuan bok choy,0.3019334375858307,
asian stir fry,dietary_cuisine,TF-IDF,2,38444,thai peanut stir fry sauce,0.2909706234931946,
asian stir fry,dietary_cuisine,TF-IDF,3,72008,soy sesame stir fry sauce,0.28363490104675293,
asian stir fry,dietary_cuisine,TF-IDF,4,254752,stir fried asian vegetables,0.2755540609359741,
asian stir fry,dietary_cuisine,TF-IDF,5,321068,stir fry opo with ground pork,0.27517956495285034,
asian stir fry,dietary_cuisine,Embeddings,1,9686,asian style vegetable stir fry,0.7237097024917603,
asian stir fry,dietary_cuisine,Embeddings,2,254752,stir fried asian vegetables,0.7007375955581665,
asian stir fry,dietary_cuisine,Embeddings,3,426651,thai chicken stir fry   4 points,0.6635367274284363,
asian stir fry,dietary_cuisine,Embeddings,4,187959,vegetable surprise  stir fry,0.662112295627594,
asian stir fry,dietary_cuisine,Embeddings,5,173833,stir fried mixed vegetables thai style,0.627810001373291,
low carb meal,dietary_cuisine,TF-IDF,1,299258,low carb flax muffins,0.18764299154281616,
low carb meal,dietary_cuisine,TF-IDF,2,390825,low carb taco salad,0.1841694563627243,
low carb meal,dietary_cuisine,TF-IDF,3,470501,low carb chocolate mug cake,0.17836400866508484,
low carb meal,dietary_cuisine,TF-IDF,4,415765,passover  low carb chocolate cake,0.1723703145980835,
low carb meal,dietary_cuisine,TF-IDF,5,69598,veggiegirl s low carb  lasagna,0.16924583911895752,
low carb meal,dietary_cuisine,Embeddings,1,59166,my low carb catsup,0.6713807582855225,
low carb meal,dietary_cuisine,Embeddings,2,135257,low carb chili   you never know the difference,0.6482141017913818,
low carb meal,dietary_cuisine,Embeddings,3,344634,low carb breakfast patty,0.6439953446388245,
low carb meal,dietary_cuisine,Embeddings,4,119229,low carb meatballs,0.6418095827102661,
low carb meal,dietary_cuisine,Embeddings,5,222592,low carb shake,0.6201285123825073,
